,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds
245,Paul Stirling,Ireland,Unsold,Batsman,5000000,49860.0
246,Hanuma Vihari,India,Unsold,Batsman,5000000,49860.0
247,Hazratullah Zazai,Afghanistan,Unsold,Batsman,5000000,49860.0
248,Karim Janat,Afghanistan,Unsold,All-Rounder,5000000,49860.0
249,Pawan Negi,India,Unsold,All-Rounder,5000000,49860.0
250,Taskin Ahmed,Bangladesh,Unsold,Bowler,5000000,49860.0
251,Shamrah Brooks,West Indies,Unsold,Batsman,5000000,49860.0
252,Avishka Fernando,Sri Lanka,Unsold,Batsman,5000000,49860.0
253,Zubayr Hamza,South Africa,Unsold,Batsman,5000000,49860.0
254,Pathum Nissaanka,Sri Lanka,Unsold,Batsman,5000000,49860.0
255,Kurtis Patterson,Australia,Unsold,Batsman,5000000,49860.0
256,Hashmatullah Shahidi,Afghanistan,Unsold,Batsman,5000000,49860.0
257,Manoj Tiwary,India,Unsold,Batsman,5000000,49860.0
258,Gulbadin Naib,Afghanistan,Unsold,All-Rounder,5000000,49860.0
259,Parvez Rasool,India,Unsold,All-Rounder,5000000,49860.0
260,Dasun Shanaka,Sri Lanka,Unsold,All-Rounder,5000000,49860.0
261,Wesley Agar,Australia,Unsold,Bowler,5000000,49860.0
262,Shoriful Islam,Bangladesh,Unsold,Bowler,5000000,49860.0
263,Josh Little,Ireland,Unsold,Bowler,5000000,49860.0
264,Blessing Muzarabani,Zimbabwe,Unsold,Bowler,5000000,49860.0
265,Jayden Seales,West Indies,Unsold,Bowler,5000000,49860.0
266,Barinder Sran,India,Unsold,Bowler,5000000,49860.0
267,Neil Wagner,New Zealand,Unsold,Bowler,5000000,49860.0
268,Curtis Campher,Ireland,Unsold,All-Rounder,5000000,49860.0
269,Wayne Parnell,South Africa,Unsold,All-Rounder,5000000,49860.0
270,Samit Patel,England,Unsold,All-Rounder,5000000,49860.0
271,Thisara Perera,Sri Lanka,Unsold,All-Rounder,5000000,49860.0
272,Murali Vijay,India,Unsold,All-Rounder,5000000,49860.0
273,Jack Wildermuth,Australia,Unsold,All-Rounder,5000000,49860.0
274,Hamish Bennett,New Zealand,Unsold,Bowler,5000000,49860.0
275,Daryn Dupavillon,South Africa,Unsold,Bowler,5000000,49860.0
276,Fidel Edwards,West Indies,Unsold,Bowler,5000000,49860.0
277,Hamid Hassan,Afghanistan,Unsold,Bowler,5000000,49860.0
